"rep","strategy","n_workers","chr","start","end","bp","n_win","secs","load_s","secs_wall","rss_gb","pid"
1,"static",4,"chr20",1,64444167,64444167,319636,14.893,0,14.893,1.703084032,70580
1,"static",4,"chr19",1,58617616,58617616,292197,12.741,0,12.741,1.982275584,70580
1,"static",4,"chrY",1,57227415,57227415,132019,9.29299999999999,0,9.29299999999999,1.890152448,70580
1,"static",4,"chr22",1,50818468,50818468,195751,8.94000000000001,0,8.94000000000001,2.023989248,70580
1,"static",4,"chr21",1,46709983,46709983,200395,10.094,0.000999999999990564,10.095,1.875628032,70580
1,"static",5,"chr1",1,248956422,248956422,1152300,71.702,9.17,80.872,2.18718208,71898
1,"static",5,"chr2",1,242193529,242193529,1202711,54.283,0.00100000000000477,54.284,3.376943104,71898
1,"static",5,"chr3",1,198295559,198295559,990471,44.503,0.00300000000001432,44.506,3.052032,71898
1,"static",5,"chr4",1,190214555,190214555,948744,38.204,0.00100000000000477,38.205,3.63726848,71898
1,"static",5,"chr5",1,181538259,181538259,906291,37.839,0.00100000000000477,37.84,3.320938496,71898
1,"static",5,"chr6",1,170805979,170805979,850378,50.501,9.169,59.67,2.27323904,71888
1,"static",5,"chr7",1,159345973,159345973,794833,36.821,0.000999999999997669,36.822,2.076315648,71888
1,"static",5,"chrX",1,156040895,156040895,774435,36.811,0.00400000000000489,36.815,2.3534592,71888
1,"static",5,"chr8",1,145138636,145138636,723830,32.306,0.00100000000000477,32.307,2.914197504,71888
1,"static",5,"chr9",1,138394717,138394717,608909,26.62,0.00100000000000477,26.621,3.232759808,71888
1,"static",5,"chr11",1,135086622,135086622,672654,40.695,9.169,49.864,1.957773312,71877
1,"static",5,"chr10",1,133797422,133797422,666239,31.767,0,31.767,1.817206784,71877
1,"static",5,"chr12",1,133275309,133275309,665659,33.005,0.00199999999999534,33.008,2.41258496,71877
1,"static",5,"chr13",1,114364328,114364328,489897,21.885,0.000999999999990564,21.886,2.343092224,71877
1,"static",5,"chr14",1,107043718,107043718,452819,22.223,0,22.223,2.475577344,71877
1,"static",5,"chr15",1,101991189,101991189,423190,26.687,9.169,35.856,1.562697728,71867
1,"static",5,"chr16",1,90338345,90338345,409010,21.387,0,21.387,1.948307456,71867
1,"static",5,"chr17",1,83257441,83257441,414555,18.4,0,18.4,2.03984896,71867
1,"static",5,"chr18",1,80373285,80373285,400407,19.33,0.00100000000000477,19.331,2.145615872,71867
1,"static",5,"chr20",1,64444167,64444167,319636,14.465,0,14.465,1.927307264,71867
1,"static",5,"chr19",1,58617616,58617616,292197,20.561,9.168,29.729,1.335332864,71858
1,"static",5,"chrY",1,57227415,57227415,132019,10.672,0,10.672,1.628213248,71858
1,"static",5,"chr22",1,50818468,50818468,195751,9.586,0,9.586,1.588822016,71858
1,"static",5,"chr21",1,46709983,46709983,200395,9.704,0.000999999999997669,9.705,1.516711936,71858
1,"static",6,"chr1",1,248956422,248956422,1152300,103.832,9.715,113.547,2.012454912,72974
1,"static",6,"chr2",1,242193529,242193529,1202711,66.647,0.000999999999990564,66.649,2.89370112,72974
1,"static",6,"chr3",1,198295559,198295559,990471,42.827,0.00100000000000477,42.828,3.353243648,72974
1,"static",6,"chr4",1,190214555,190214555,948744,40.188,0.000999999999976353,40.189,3.163492352,72974
1,"static",6,"chr5",1,181538259,181538259,906291,80.931,9.719,90.65,1.91432704,72964
1,"static",6,"chr6",1,170805979,170805979,850378,53.742,0.00100000000000477,53.745,0.592125952,72964
1,"static",6,"chr7",1,159345973,159345973,794833,41.588,0.0120000000000005,41.6,2.49319424,72964
1,"static",6,"chrX",1,156040895,156040895,774435,32.868,0,32.868,2.856124416,72964
1,"static",6,"chr8",1,145138636,145138636,723830,68.376,9.72,78.096,1.59909888,72955
1,"static",6,"chr9",1,138394717,138394717,608909,39.618,0.00100000000000477,39.62,0.38610944,72955
1,"static",6,"chr11",1,135086622,135086622,672654,40.74,0.00399999999999068,40.744,2.200899584,72955
1,"static",6,"chr10",1,133797422,133797422,666239,29.479,0.00200000000000955,29.481,1.904852992,72955
1,"static",6,"chr12",1,133275309,133275309,665659,59.837,9.719,69.556,1.495773184,72945
1,"static",6,"chr13",1,114364328,114364328,489897,29.356,0,29.356,1.67770112,72945
1,"static",6,"chr14",1,107043718,107043718,452819,34.159,0.00199999999999534,34.161,1.335246848,72945
1,"static",6,"chr15",1,101991189,101991189,423190,25.276,0.00200000000000955,25.278,2.062237696,72945
1,"static",6,"chr16",1,90338345,90338345,409010,34.964,9.719,44.683,0.485920768,72935
1,"static",6,"chr17",1,83257441,83257441,414555,33.043,0.00200000000000244,33.045,0.456900608,72935
1,"static",6,"chr18",1,80373285,80373285,400407,27.744,0.000999999999990564,27.745,1.740300288,72935
1,"static",6,"chr20",1,64444167,64444167,319636,21.906,0.00100000000000477,21.907,0.668307456,72935
1,"static",6,"chr19",1,58617616,58617616,292197,25.945,9.713,35.658,1.182908416,72926
1,"static",6,"chrY",1,57227415,57227415,132019,16.07,0,16.07,0.25344,72926
1,"static",6,"chr22",1,50818468,50818468,195751,14.491,0.00300000000000011,14.494,1.406390272,72926
1,"static",6,"chr21",1,46709983,46709983,200395,15.584,0,15.584,1.168838656,72926
1,"dynamic",1,"chr1",1,248956422,248956422,1152300,53.1590000000001,0.000999999999748979,53.1599999999999,3.448885248,64341
1,"dynamic",1,"chr2",1,242193529,242193529,1202711,47.0129999999999,0,47.0129999999999,4.267175936,64341
1,"dynamic",1,"chr3",1,198295559,198295559,990471,39.2570000000001,0,39.2570000000001,4.22959104,64341
1,"dynamic",1,"chr4",1,190214555,190214555,948744,38.527,0.00100000000020373,38.5280000000002,4.151504896,64341
1,"dynamic",1,"chr5",1,181538259,181538259,906291,35.6439999999998,0,35.6439999999998,4.172484608,64341
1,"dynamic",1,"chr6",1,170805979,170805979,850378,33.9160000000002,0,33.9160000000002,4.050673664,64341
1,"dynamic",1,"chr7",1,159345973,159345973,794833,34.2329999999997,0,34.2329999999997,3.926933504,64341
1,"dynamic",1,"chrX",1,156040895,156040895,774435,30.0880000000002,0,30.0880000000002,4.018962432,64341
1,"dynamic",1,"chr8",1,145138636,145138636,723830,28.6770000000001,0,28.6770000000001,3.958300672,64341
1,"dynamic",1,"chr9",1,138394717,138394717,608909,25.5509999999999,0,25.5509999999999,3.977105408,64341
1,"dynamic",1,"chr11",1,135086622,135086622,672654,26.038,0.000999999999748979,26.0389999999998,4.120051712,64341
1,"dynamic",1,"chr10",1,133797422,133797422,666239,25.8140000000003,0,25.8140000000003,4.01074176,64341
1,"dynamic",1,"chr12",1,133275309,133275309,665659,26.203,0,26.203,4.071645184,64341
1,"dynamic",1,"chr13",1,114364328,114364328,489897,18.422,0,18.422,4.317118464,64341
1,"dynamic",1,"chr14",1,107043718,107043718,452819,17.1599999999999,0,17.1599999999999,4.425678848,64341
1,"dynamic",1,"chr15",1,101991189,101991189,423190,15.4089999999997,0,15.4089999999997,4.50269184,64341
1,"dynamic",1,"chr16",1,90338345,90338345,409010,16.3870000000002,0,16.3870000000002,4.45943808,64341
1,"dynamic",1,"chr17",1,83257441,83257441,414555,17.2069999999999,0.00100000000020373,17.2080000000001,4.284612608,64341
1,"dynamic",1,"chr18",1,80373285,80373285,400407,13.7629999999999,0,13.7629999999999,4.523421696,64341
1,"dynamic",1,"chr20",1,64444167,64444167,319636,12.6660000000002,0,12.6660000000002,4.357890048,64341
1,"dynamic",1,"chr19",1,58617616,58617616,292197,10.4079999999999,0,10.4079999999999,4.444258304,64341
1,"dynamic",1,"chrY",1,57227415,57227415,132019,7.29200000000037,0,7.29200000000037,4.526505984,64341
1,"dynamic",1,"chr22",1,50818468,50818468,195751,8.58199999999988,0,8.58300000000008,4.125507584,64341
1,"dynamic",1,"chr21",1,46709983,46709983,200395,7.44299999999976,0,7.44299999999976,4.261011456,64341
1,"dynamic",2,"chr1",1,248956422,248956422,1152300,58.85,6.989,65.839,3.022860288,76874
1,"dynamic",2,"chr2",1,242193529,242193529,1202711,59.834,6.988,66.822,3.123933184,76863
1,"dynamic",2,"chr3",1,198295559,198295559,990471,41.731,0,41.731,3.16983296,76874
1,"dynamic",2,"chr4",1,190214555,190214555,948744,41.221,0,41.221,3.70610176,76863
1,"dynamic",2,"chr5",1,181538259,181538259,906291,36.216,0,36.216,3.494166528,76874
1,"dynamic",2,"chr6",1,170805979,170805979,850378,32.93,0,32.93,3.470536704,76863
1,"dynamic",2,"chr7",1,159345973,159345973,794833,33.227,0,33.227,3.599699968,76863
1,"dynamic",2,"chrX",1,156040895,156040895,774435,31.046,0,31.046,3.890327552,76874
1,"dynamic",2,"chr8",1,145138636,145138636,723830,29.733,0,29.733,3.594756096,76863
1,"dynamic",2,"chr9",1,138394717,138394717,608909,27.422,0.00100000000000477,27.423,3.73778432,76874
1,"dynamic",2,"chr11",1,135086622,135086622,672654,28.896,0,28.896,3.4966528,76874
1,"dynamic",2,"chr10",1,133797422,133797422,666239,28.113,0,28.113,3.256492032,76863
1,"dynamic",2,"chr12",1,133275309,133275309,665659,27.11,0,27.11,3.531526144,76874
1,"dynamic",2,"chr13",1,114364328,114364328,489897,18.892,0,18.892,3.746988032,76863
1,"dynamic",2,"chr14",1,107043718,107043718,452819,18.452,0,18.452,3.221549056,76863
1,"dynamic",2,"chr15",1,101991189,101991189,423190,15.01,0,15.01,3.885658112,76874
1,"dynamic",2,"chr16",1,90338345,90338345,409010,14.584,0.0010000000000332,14.585,3.963826176,76863
1,"dynamic",2,"chr17",1,83257441,83257441,414555,15.671,0,15.671,3.294048256,76874
1,"dynamic",2,"chr18",1,80373285,80373285,400407,14.649,0,14.649,3.87067904,76863
1,"dynamic",2,"chr20",1,64444167,64444167,319636,11.624,0,11.624,3.399954432,76874
1,"dynamic",2,"chr19",1,58617616,58617616,292197,11.583,0,11.583,3.551281152,76863
1,"dynamic",2,"chrY",1,57227415,57227415,132019,7.37299999999999,0,7.37299999999999,3.35740928,76874
1,"dynamic",2,"chr22",1,50818468,50818468,195751,7.71700000000004,0,7.71700000000004,3.449131008,76874
1,"dynamic",2,"chr21",1,46709983,46709983,200395,8.77599999999995,0.0010000000000332,8.77699999999999,3.665252352,76863
1,"dynamic",3,"chr1",1,248956422,248956422,1152300,58.643,7.192,65.835,2.935672832,78151
1,"dynamic",3,"chr2",1,242193529,242193529,1202711,60.444,7.19,67.634,3.072835584,78141
1,"dynamic",3,"chr3",1,198295559,198295559,990471,47.379,7.19,54.569,2.621038592,78131
1,"dynamic",3,"chr4",1,190214555,190214555,948744,42.488,0,42.488,2.956673024,78131
1,"dynamic",3,"chr5",1,181538259,181538259,906291,40.436,0,40.436,2.62565888,78151
1,"dynamic",3,"chr6",1,170805979,170805979,850378,38.268,0,38.268,2.765533184,78141
1,"dynamic",3,"chr7",1,159345973,159345973,794833,32.669,0,32.669,2.750861312,78131
1,"dynamic",3,"chrX",1,156040895,156040895,774435,32.126,0.00100000000000477,32.127,3.079770112,78141
1,"dynamic",3,"chr8",1,145138636,145138636,723830,28.89,0,28.89,2.82343424,78151
1,"dynamic",3,"chr9",1,138394717,138394717,608909,28.662,0,28.662,3.197059072,78131
1,"dynamic",3,"chr11",1,135086622,135086622,672654,28.734,0,28.734,2.8191744,78151
1,"dynamic",3,"chr10",1,133797422,133797422,666239,28.481,0,28.481,2.993516544,78141
1,"dynamic",3,"chr12",1,133275309,133275309,665659,32.067,0,32.067,2.8669952,78131
1,"dynamic",3,"chr13",1,114364328,114364328,489897,23.405,0,23.405,2.953998336,78151
1,"dynamic",3,"chr14",1,107043718,107043718,452819,21.721,0.00100000000000477,21.722,3.006099456,78141
1,"dynamic",3,"chr15",1,101991189,101991189,423190,20.605,0,20.605,2.59956736,78151
1,"dynamic",3,"chr16",1,90338345,90338345,409010,19.419,0,19.419,2.85077504,78141
1,"dynamic",3,"chr17",1,83257441,83257441,414555,17.593,0,17.593,2.782662656,78131
1,"dynamic",3,"chr18",1,80373285,80373285,400407,17.683,0,17.683,3.382616064,78141
1,"dynamic",3,"chr20",1,64444167,64444167,319636,12.893,0.000999999999976353,12.894,2.6446848,78151
1,"dynamic",3,"chr19",1,58617616,58617616,292197,12.788,0,12.788,2.9565952,78131
1,"dynamic",3,"chrY",1,57227415,57227415,132019,9.88000000000002,0,9.88000000000002,2.319876096,78151
1,"dynamic",3,"chr22",1,50818468,50818468,195751,7.94899999999998,0,7.94899999999998,3.275956224,78141
1,"dynamic",3,"chr21",1,46709983,46709983,200395,7.803,0,7.803,3.059748864,78131
1,"dynamic",4,"chr1",1,248956422,248956422,1152300,70.103,8.175,78.278,1.867239424,79311
1,"dynamic",4,"chr2",1,242193529,242193529,1202711,69.872,8.176,78.048,2.231455744,79300
1,"dynamic",4,"chr3",1,198295559,198295559,990471,57.558,8.174,65.732,1.622134784,79290
1,"dynamic",4,"chr4",1,190214555,190214555,948744,54.884,8.174,63.058,2.26736128,79280
1,"dynamic",4,"chr5",1,181538259,181538259,906291,44.843,0,44.843,1.269252096,79280
1,"dynamic",4,"chr6",1,170805979,170805979,850378,44.977,0.00100000000000477,44.978,2.527526912,79290
1,"dynamic",4,"chr7",1,159345973,159345973,794833,40.209,0.00199999999999534,40.213,2.30406144,79300
1,"dynamic",4,"chrX",1,156040895,156040895,774435,37.251,0.00100000000000477,37.252,2.708353024,79311
1,"dynamic",4,"chr8",1,145138636,145138636,723830,39.075,0.00199999999999534,39.077,1.812660224,79280
1,"dynamic",4,"chr9",1,138394717,138394717,608909,36.593,0,36.593,2.9714432,79290
1,"dynamic",4,"chr11",1,135086622,135086622,672654,34.713,0.00100000000000477,34.714,2.317848576,79311
1,"dynamic",4,"chr10",1,133797422,133797422,666239,38.252,0.0120000000000005,38.264,1.994293248,79300
1,"dynamic",4,"chr12",1,133275309,133275309,665659,32.951,0.000999999999976353,32.952,2.378870784,79290
1,"dynamic",4,"chr13",1,114364328,114364328,489897,26.284,0,26.284,1.892405248,79280
1,"dynamic",4,"chr14",1,107043718,107043718,452819,25.288,0.00100000000000477,25.289,2.245750784,79311
1,"dynamic",4,"chr15",1,101991189,101991189,423190,22.55,0.00200000000000955,22.552,2.800635904,79300
1,"dynamic",4,"chr16",1,90338345,90338345,409010,23.677,0,23.677,2.425921536,79311
1,"dynamic",4,"chr17",1,83257441,83257441,414555,22.815,0,22.815,2.501967872,79280
1,"dynamic",4,"chr18",1,80373285,80373285,400407,18.094,0.00100000000000477,18.095,1.888878592,79300
1,"dynamic",4,"chr20",1,64444167,64444167,319636,15.412,0.00100000000000477,15.413,2.065887232,79290
1,"dynamic",4,"chr19",1,58617616,58617616,292197,13.734,0,13.734,1.992962048,79290
1,"dynamic",4,"chrY",1,57227415,57227415,132019,8.869,0.00100000000000477,8.87,2.672447488,79280
1,"dynamic",4,"chr22",1,50818468,50818468,195751,8.50899999999999,0,8.50899999999999,2.396532736,79311
1,"dynamic",4,"chr21",1,46709983,46709983,200395,9.315,0,9.315,1.947516928,79300
1,"dynamic",5,"chr1",1,248956422,248956422,1152300,93.696,8.796,102.492,1.964097536,80373
1,"dynamic",5,"chr2",1,242193529,242193529,1202711,92.798,8.795,101.593,2.223804416,80361
1,"dynamic",5,"chr3",1,198295559,198295559,990471,78.783,8.793,87.576,2.087530496,80351
1,"dynamic",5,"chr4",1,190214555,190214555,948744,69.605,8.794,78.399,1.223307264,80341
1,"dynamic",5,"chr5",1,181538259,181538259,906291,69.332,8.794,78.126,1.933418496,80330
1,"dynamic",5,"chr6",1,170805979,170805979,850378,51.657,0.00100000000000477,51.658,0.842686464,80330
1,"dynamic",5,"chr7",1,159345973,159345973,794833,57.436,0.00199999999999534,57.438,2.152280064,80341
1,"dynamic",5,"chrX",1,156040895,156040895,774435,52.759,0,52.759,2.37295616,80351
1,"dynamic",5,"chr8",1,145138636,145138636,723830,48.098,0,48.103,0.457129984,80361
1,"dynamic",5,"chr9",1,138394717,138394717,608909,39.431,0.00100000000000477,39.434,0.473710592,80373
1,"dynamic",5,"chr11",1,135086622,135086622,672654,51.382,0.00399999999999068,51.386,1.058562048,80330
1,"dynamic",5,"chr10",1,133797422,133797422,666239,46.86,0.00100000000000477,46.861,1.768828928,80341
1,"dynamic",5,"chr12",1,133275309,133275309,665659,49.322,0.00100000000000477,49.323,1.982787584,80351
1,"dynamic",5,"chr13",1,114364328,114364328,489897,38.088,0.00600000000000023,38.094,1.329205248,80373
1,"dynamic",5,"chr14",1,107043718,107043718,452819,28.928,0.00600000000000023,28.934,1.6611328,80361
1,"dynamic",5,"chr15",1,101991189,101991189,423190,35.428,0.00100000000000477,35.429,2.067017728,80361
1,"dynamic",5,"chr16",1,90338345,90338345,409010,37.882,0.00499999999999545,37.887,2.052235264,80330
1,"dynamic",5,"chr17",1,83257441,83257441,414555,27.581,0.0129999999999768,27.594,1.42157824,80341
1,"dynamic",5,"chr18",1,80373285,80373285,400407,26.471,0.0040000000000191,26.475,1.382883328,80373
1,"dynamic",5,"chr20",1,64444167,64444167,319636,18.51,0.00500000000002387,18.515,0.787206144,80351
1,"dynamic",5,"chr19",1,58617616,58617616,292197,16.646,0,16.646,0.519655424,80351
1,"dynamic",5,"chrY",1,57227415,57227415,132019,15.468,0,15.468,1.083981824,80361
1,"dynamic",5,"chr22",1,50818468,50818468,195751,19.328,0.00100000000000477,19.329,2.202279936,80373
1,"dynamic",5,"chr21",1,46709983,46709983,200395,19.399,0.00200000000000955,19.401,2.670432256,80341
1,"dynamic",6,"chr1",1,248956422,248956422,1152300,122.364,9.953,132.317,1.785143296,81429
1,"dynamic",6,"chr2",1,242193529,242193529,1202711,118.923,9.955,128.878,2.106953728,81418
1,"dynamic",6,"chr3",1,198295559,198295559,990471,92.404,9.948,102.352,0.960200704,81405
1,"dynamic",6,"chr4",1,190214555,190214555,948744,90.547,9.985,100.532,0.960466944,81395
1,"dynamic",6,"chr5",1,181538259,181538259,906291,86.932,9.964,96.896,1.859551232,81384
1,"dynamic",6,"chr6",1,170805979,170805979,850378,85.791,9.913,95.704,1.8374656,81371
1,"dynamic",6,"chr7",1,159345973,159345973,794833,77.973,0.027000000000001,78.002,0.512802816,81371
1,"dynamic",6,"chrX",1,156040895,156040895,774435,85.733,0.00200000000000955,85.737,0.414519296,81384
1,"dynamic",6,"chr8",1,145138636,145138636,723830,77.437,0.00100000000000477,77.439,0.46084096,81395
1,"dynamic",6,"chr9",1,138394717,138394717,608909,58.961,0.00199999999999534,58.963,1.200070656,81405
1,"dynamic",6,"chr11",1,135086622,135086622,672654,78.332,0.00100000000000477,78.333,1.198465024,81418
1,"dynamic",6,"chr10",1,133797422,133797422,666239,68.874,0,68.874,0.575926272,81429
1,"dynamic",6,"chr12",1,133275309,133275309,665659,67.724,0.0029999999999859,67.728,1.36228864,81405
1,"dynamic",6,"chr13",1,114364328,114364328,489897,50.462,0.0270000000000152,50.489,0.336449536,81371
1,"dynamic",6,"chr14",1,107043718,107043718,452819,37.185,0.00499999999999545,37.19,0.357933056,81395
1,"dynamic",6,"chr15",1,101991189,101991189,423190,39.121,0.00399999999999068,39.125,0.393306112,81384
1,"dynamic",6,"chr16",1,90338345,90338345,409010,43.434,0.00399999999999068,43.439,0.297689088,81429
1,"dynamic",6,"chr17",1,83257441,83257441,414555,50.693,0.00899999999998613,50.703,0.779743232,81418
